"id","name","alternative_name","country_name","is_active"
377,"Airpac Airlines","\N","AIRPAC","N"
378,"Aeroservicios Monterrey","\N","Mexico","N"
379,"Amapola Flyg AB","\N","Sweden","N"
380,"Air People International","\N","Thailand","N"
381,"Alpha Aviation","\N","AIRFLIGHT","N"
382,"ASA Pesada","\N","ASA PESADA","N"
383,"Air Print","\N","AIR PRINT","N"
384,"Atlantic Airlines","\N","United States","N"
385,"Aerotransporte Petrolero","\N","Colombia","N"
386,"Aero Flight","\N","Germany","Y"
387,"ACM Aviation","\N","United States","N"
388,"Aircompany Barcol","\N","Russia","N"
389,"All Charter Limited","\N","United Kingdom","N"
390,"Appalachian Flying Service","\N","APPALACHIAN","N"
391,"Airpac","\N","ALASKA PACIFIC","N"
392,"Aeropro","\N","Canada","N"
393,"Aerolineas Pacifico Atlantico","\N","AEROPERLAS","N"
394,"Aspen Aviation","\N","United States","N"
395,"Aeropuma","\N","AEROPUMA","N"
396,"Air Plan International","\N","Democratic Republic of the Congo","N"
397,"Arrow Air","\N","United States","Y"
398,"Apex Air Cargo","\N","United States","N"
399,"APA Internacional","\N","Dominican Republic","N"
400,"Aeroatlas","\N","ATCO","N"
401,"Aquila Air Ltd.","\N","Canada","N"
402,"Air Queensland","\N","Australia","N"
403,"Aluminum Company Of America","\N","United States","N"
404,"Aviones de Renta de Quintana Roo","\N","AVIOQUINTANA","N"
405,"AirQuarius Aviation","\N","South Africa","N"
406,"Aerodyne Charter Company","\N","United States","N"
407,"Arik Air","\N","Nigeria","N"
408,"Avia Air N.V.","\N","Aruba","N"
409,"Air Routing International Corp.","\N","United States","N"
410,"Aerocondor","\N","Portugal","Y"
411,"Aires","\N"," S.A.","Y"
412,"Aerolineas Argentinas","\N","Argentina","Y"
413,"Arrowhead Airways","\N","United States","N"
414,"Aero Vics","\N","Mexico","N"
415,"Aerojet de Costa Rica","\N",NULL,"N"
416,"Antillana De Navegacion Aerea","\N","Dominican Republic","N"
417,"Aeroservicios De San Luis","\N","Mexico","N"
418,"Aerosuper","\N","Mexico","N"
419,"Aero Link Air Services S.L.","\N","Spain","N"
420,"Airlec - Air Aquitaine Transport","\N","France","N"
421,"Aeromarket Express","\N","Spain","N"
422,"Arrow Aviation Ltd.","\N","Canada","N"
423,"RPA-Aviataxi Ltd.","\N","Russia","N"
424,"Air Klaipeda","\N","Lithuania","N"
425,"Armstrong Air","\N","ARMSTRONG","N"
426,"Air Armenia","\N","Armenia","N"
427,"Aeromet Servicios","\N","Chile","N"
428,"Aerotal Aerolineas Territoriales de Colombia Ltda","\N","Colombia","N"
429,"Aravco Ltd.","\N","United Kingdom","N"
430,"Aria","\N","France","N"
431,"Air Xpress","\N","AIREX","N"
432,"Airline Alania","\N","Russia","N"
433,"Air Tchad","\N","Chad","N"
434,"Aerloineas de Techuacan","\N","Mexico","N"
435,"Aerotransportes Huitzilin","\N","Mexico","N"
436,"Aero Transportes Del Humaya","\N","Mexico","N"
437,"Argosy Airways","\N","United States","N"
438,"Air Resorts","\N","United States","N"
439,"Alaska Airlines","\N","ALASKA","Y"
440,"Air-Spray 1967 Ltd.","\N","Canada","N"
441,"Air Star Corporation","\N","Canada","N"
442,"Air Sinai","\N","Egypt","Y"
443,"Airstars","\N","Russia","N"
444,"Air Schefferville","\N","SCHEFF","N"
445,"African Star Airways (PTY) Ltd.","\N","South Africa","N"
446,"Aerosun International","\N","AEROSUN","N"
447,"Air Satellite","\N","Canada","N"
448,"Awesome Flight Services (PTY) Ltd.","\N","South Africa","N"
449,"Air and Sea Transport","\N","Russia","N"
450,"Aero Slovakia","\N","Slovakia","N"
451,"Airsprint","\N","Canada","N"
452,"Atlantic Southeast Airlines","\N","United States","Y"
453,"All Star Airlines","\N","ALL STAR","N"
454,"Air Class","\N","AIR CLASS","N"
455,"Aerlineas Del Oeste","\N","Mexico","N"
456,"Aviones Are","\N","Mexico","N"
457,"Air Nepal International","\N","Nepal","N"
458,"Air Napier","\N","New Zealand","N"
459,"Air Taxi & Cargo","\N","Sudan","N"
460,"Arrow Panama","\N","Panama","N"
461,"Astravia-Bissau Air Transports Ltd.","\N","Guinea-Bissau","N"
462,"Astrakhan Airlines","\N","Russia","Y"
463,"Air Transport Association","\N","United States","N"
464,"Atlantair Ltd.","\N","Canada","N"
465,"Air Tanzania","\N","Tanzania","Y"
466,"Aerotours Dominicana","\N","Dominican Republic","N"
467,"Atlantis Transportation Services","\N","ATLANTIS CANADA","N"
468,"Aerotrans Airline","\N","Kazakhstan","N"
469,"Air Charter World","\N","United States","N"
470,"Air Burkina","\N","Burkina Faso","Y"
471,"Air Travel Corp.","\N","United States","N"
472,"Aero-Tropics Air Services","\N","Australia","N"
473,"Air Traffic GmbH","\N","Germany","N"
474,"AeroTACA","\N","Colombia","N"
475,"Aerocentral","\N","Mexico","N"
476,"Airlines Of Tasmania","\N","Australia","Y"
477,"Air Saint Pierre","\N","France","Y"
478,"Air Transport International","\N","United States","N"
479,"ASTRAL Colombia - Aerotransportes Especiales Ltda.","\N","Colombia","N"
480,"Air Transport Schiphol","\N","Netherlands","N"
481,"Aeroferinco","\N","Mexico","N"
482,"Aero Taxis Y Servicios Alfe","\N","Mexico","N"
483,"Avialesookhrana","\N","Russia","N"
484,"Africair Service","\N","Senegal","N"
485,"Atlas Airlines","\N","United States","N"
486,"Air Transport Service","\N","Democratic Republic of the Congo","N"
487,"Aer Turas","\N","Ireland","N"
488,"Atlant Aerobatics Ltd.","\N","Hungary","N"
489,"Avanti Air","\N","Germany","N"
490,"Aero Trades (Western) Ltd.","\N","Canada","N"
491,"Austrian Airlines","\N","Austria","Y"
492,"Air Southwest","\N","United Kingdom","Y"
493,"Augsburg Airways","\N","Germany","Y"
494,"Air Corporate","\N","Italy","N"
495,"Aviastar-Tu","\N","Russia","N"
496,"AirBridge Cargo","\N","Russia","N"
497,"ATUR","\N","Ecuador","Y"
498,"ATESA Aerotaxis Ecuatorianos","\N","Ecuador","N"
499,"Austin Express","\N","United States","N"
500,"Audi Air","\N","AUDI AIR","N"
501,"Augusta Air Luftfahrtunternehmen","\N","Germany","N"
502,"Abu Dhabi Amiri Flight","\N","United Arab Emirates","Y"
503,"Aeroflot-Nord","\N","Russia","Y"
504,"Air Atlantic Uruguay","\N","Uruguay","N"
505,"Aviones Unidos","\N","Mexico","N"
506,"Avia Business Group","\N","Russia","N"
